lessonId	lessonTitle	materialType	materialTitle	externalUrl
skill_analytics_target_audience_001	Этапы анализа ЦА | Анализ ЦА, 1	PRESENTATION	Анализ ЦА: как сделать уникальный товар для потребителя	https://drive.google.com/file/d/1mGCw1jBMOoQQhNLIYbMyGSxLx9XmpRdH/view
skill_analytics_assortment_001	Ассортимент как система	PRESENTATION	Ассортимент как система: где “лежат деньги”	https://drive.google.com/file/d/1OfdI7vQLwdt7FFmFA7g4VEYRefBb3Xt1/view
skill_analytics_focus_products_001	Вероятность продажи и ранжирование товара	PRESENTATION	Ранжирование фокусных товаров: контролируемые факторы	https://drive.google.com/file/d/1PkGaQ5CAtI68KpdF5x-vhOrGAewKnrMG/view
skill_analytics_target_audience_002	Скачиваем отзывы из карточек для анализа ЦА | Анализ ЦА, 2	PRESENTATION	Анализ ЦА: как сделать уникальный товар для потребителя	https://drive.google.com/file/d/1mGCw1jBMOoQQhNLIYbMyGSxLx9XmpRdH/view
skill_analytics_assortment_002	Как принимать решения по ассортименту — ABC/XYZ и матрица	PRESENTATION	Ассортимент как система: где “лежат деньги”	https://drive.google.com/file/d/1OfdI7vQLwdt7FFmFA7g4VEYRefBb3Xt1/view
01_analytics_m01_start_002	Для чего нужна аналитика для бизнеса на МП	PRESENTATION	Для чего нужна аналитика для бизнеса на МП	https://drive.google.com/file/d/1C09GOPQY1V-rHbzuB-8oFBrUAflOw8uA/view
05_ozon_m03_promotion_001	Воронка продаж	PRESENTATION	Воронка продаж: CTR, CR и точки отвалов	https://drive.google.com/file/d/1hmSMihQtdltdg1Xu2B4t8N148Y33ADD9/view
skill_analytics_target_audience_003	Анализируем отзывы с помощью нейросети | Анализ ЦА, 3	PRESENTATION	Анализ ЦА: как сделать уникальный товар для потребителя	https://drive.google.com/file/d/1mGCw1jBMOoQQhNLIYbMyGSxLx9XmpRdH/view
skill_analytics_focus_products_003	Анализ воронки продаж на примере реального кабинета Wildberries	PRESENTATION	Воронка продаж: CTR, CR и точки отвалов	https://drive.google.com/file/d/1hmSMihQtdltdg1Xu2B4t8N148Y33ADD9/view
skill_analytics_focus_products_004	Анализ конкурентов через инструмент «Сравнение карточек»	PRESENTATION	Воронка продаж: CTR, CR и точки отвалов	https://drive.google.com/file/d/1hmSMihQtdltdg1Xu2B4t8N148Y33ADD9/view
02_ads_m04_ads_economics_001	Юнит-экономика: погружение в ключевые показатели	PRESENTATION	Юнит-экономика: погружение в ключевые показатели	https://drive.google.com/file/d/1bIwKiQhAMtWebPd3FY9cpq5vAYHnJXU6/view
02_ads_m04_ads_economics_001	Юнит-экономика: погружение в ключевые показатели	MEMO	Глоссарий по теме «Юнит-экономика»	https://docs.google.com/document/d/1OfT_uYNEZTgcUJrSDpaYh9sF4GeluVO8VjNsvwkE11I/edit?tab=t.0
skill_analytics_target_audience_004	Анализ вопросов в карточках товара | Анализ ЦА, 4	PRESENTATION	Анализ ЦА: как сделать уникальный товар для потребителя	https://drive.google.com/file/d/1mGCw1jBMOoQQhNLIYbMyGSxLx9XmpRdH/view
01_analytics_m02_economics_002	Обзор и настройка таблицы | Unit-экономика WB работа с таблицей, 1	CALCULATION_TABLE	Таблица «Юнит-экономика»	https://docs.google.com/spreadsheets/d/1SAAYXnSQS4k21xXiIYb7ZfL90nOHJucftEXhq4M9UIA
01_analytics_m02_economics_003	Заполняем "Вводные данные по товару" и "Переменные расходы"| Unit-экономика WB работа с таблицей, 2	EXTERNAL_SERVICE	Evirma Secret Bot	https://t.me/EvirmaBot
01_analytics_m02_economics_004	Заполняем «Ценообразование», «Габариты товара» | Unit-экономика WB работа с таблицей, 3	CALCULATION_TABLE	Таблица «Юнит-экономика»	https://docs.google.com/spreadsheets/d/1SAAYXnSQS4k21xXiIYb7ZfL90nOHJucftEXhq4M9UIA
01_analytics_m02_economics_005	Заполняем  «Параметры продавца» и  «Внутренний маркетинг» | Unit-экономика WB работа с таблицей, 4	CALCULATION_TABLE	Таблица «Юнит-экономика»	https://docs.google.com/spreadsheets/d/1SAAYXnSQS4k21xXiIYb7ZfL90nOHJucftEXhq4M9UIA
01_analytics_m02_economics_006	Заполняем строки расходов | Unit-экономика WB работа с таблицей, 5	CALCULATION_TABLE	Таблица «Юнит-экономика»	https://docs.google.com/spreadsheets/d/1SAAYXnSQS4k21xXiIYb7ZfL90nOHJucftEXhq4M9UIA
01_analytics_m02_economics_007	Заполняем «Коммерческие расходы», «Налог» | Unit-экономика WB работа с таблицей, 6	CALCULATION_TABLE	Таблица «Юнит-экономика»	https://docs.google.com/spreadsheets/d/1SAAYXnSQS4k21xXiIYb7ZfL90nOHJucftEXhq4M9UIA
01_analytics_m02_economics_008	Оборачиваемость | Unit-экономика WB работа с таблицей, 7	CALCULATION_TABLE	Таблица «Юнит-экономика»	https://docs.google.com/spreadsheets/d/1SAAYXnSQS4k21xXiIYb7ZfL90nOHJucftEXhq4M9UIA
01_analytics_m02_economics_012	Типы ценовых сегментов на маркетплейсах: как определить свой	PRESENTATION	Типы ценовых сегментов на маркетплейсах	https://drive.google.com/file/d/1Hnjaj39kb2j7iZmkQfZPmyAL-owV8ahi/view
01_analytics_m02_economics_014	Анализ условий акций: как принять решение о запуске	PRESENTATION	Анализ условий акций: как принять решение о запуске	https://drive.google.com/file/d/1_PhhJBYPhhM8pS_LDLg9MafNxcV_vUsR/view?usp=drive_link
01_analytics_m03_competitors_001	Типы конкуренции | Кто мой конкурент, 1	PRESENTATION	Типы конкуренции: как понять, кто мой конкурент	https://drive.google.com/file/d/1qxQCGYSIcCLQ6_pZtFsji-L-jUW65OoT/view
01_analytics_m03_competitors_001	Типы конкуренции | Кто мой конкурент, 1	CALCULATION_TABLE	Таблица «Определение типа конкуренции»	https://docs.google.com/spreadsheets/d/1hBaPfyIQ6EHKNinNUWVprmqRlo_3lYhJk2EckA8fPTg/edit?gid=67871355#gid=67871355
01_analytics_m03_competitors_002	Определяем типы конкурентов | Кто мой конкурент, 2	PRESENTATION	Типы конкуренции: как понять, кто мой конкурент	https://drive.google.com/file/d/1qxQCGYSIcCLQ6_pZtFsji-L-jUW65OoT/view
01_analytics_m03_competitors_002	Определяем типы конкурентов | Кто мой конкурент, 2	CALCULATION_TABLE	Таблица «Определение типа конкуренции»	https://docs.google.com/spreadsheets/d/1hBaPfyIQ6EHKNinNUWVprmqRlo_3lYhJk2EckA8fPTg/edit?gid=67871355#gid=67871355
01_analytics_m03_competitors_004	Емкость товара: как определить потенциал	PRESENTATION	Емкость товара: как определить потенциал	https://drive.google.com/file/d/1CsRC6o48RfemdVhlYb3fVhRS8nKS8-hC/view
01_analytics_m03_competitors_005	Считаем емкость товара: практика	PRESENTATION	Практика: считаем емкость товара	https://drive.google.com/file/d/1TKYwAhI-pjEbn46PTf-rk3OXwzYoBEb0/view?usp=sharing
01_analytics_m03_competitors_005	Считаем емкость товара: практика	CALCULATION_TABLE	Пример расчета ёмкости	https://docs.google.com/spreadsheets/d/1IxfKkth9A8LQjvEPM6cIgnamC_-T7YQxKu3jRnizo4c/edit?usp=sharing
01_analytics_m03_competitors_006	Конкурентный анализ: зачем нужен и как проводить	CALCULATION_TABLE	Таблица «Постановка цели конкурентого анализа»	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=349309911#gid=349309911
01_analytics_m03_competitors_006	Конкурентный анализ: зачем нужен и как проводить	PRESENTATION	Конкурентный анализ: зачем нужен и как проводить	https://drive.google.com/file/d/1zIaTj_GxMzP2wUvZRWaj6sxpQjmGT_jK/view
01_analytics_m03_competitors_006	Конкурентный анализ: зачем нужен и как проводить	EXTERNAL_SERVICE	Плагин MPSTATS	https://mpstats.io/chrome-plugin?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
01_analytics_m03_competitors_007	Ставим цель | Инструменты конкурентного анализа, 1	CALCULATION_TABLE	Таблица «Анализ конкурентов»	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=15771304#gid=15771304
01_analytics_m03_competitors_007	Ставим цель | Инструменты конкурентного анализа, 1	CALCULATION_TABLE	Пример анализа из урока	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=192193430#gid=192193430
01_analytics_m03_competitors_007	Ставим цель | Инструменты конкурентного анализа, 1	EXTERNAL_SERVICE	Плагин MPSTATS	https://mpstats.io/chrome-plugin?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
06_express_c03_competitors_m02_why_choose_005	Анализ ниши	CALCULATION_TABLE	Таблица «Анализ конкурентов»	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=15771304#gid=15771304
06_express_c03_competitors_m02_why_choose_005	Анализ ниши	CALCULATION_TABLE	Пример анализа из урока	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=192193430#gid=192193430
06_express_c03_competitors_m02_why_choose_005	Анализ ниши	EXTERNAL_SERVICE	Плагин MPSTATS	https://mpstats.io/chrome-plugin?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
01_analytics_m03_competitors_009	Анализ продавца, магазина | Инструменты конкурентного анализа, 3	CALCULATION_TABLE	Таблица «Анализ конкурентов»	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=15771304#gid=15771304
01_analytics_m03_competitors_009	Анализ продавца, магазина | Инструменты конкурентного анализа, 3	CALCULATION_TABLE	Пример анализа из урока	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=192193430#gid=192193430
01_analytics_m03_competitors_009	Анализ продавца, магазина | Инструменты конкурентного анализа, 3	EXTERNAL_SERVICE	Плагин MPSTATS	https://mpstats.io/chrome-plugin?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
06_express_c03_competitors_m02_why_choose_007	Детальный анализ конкурентов	CALCULATION_TABLE	Таблица «Анализ конкурентов»	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=15771304#gid=15771304
06_express_c03_competitors_m02_why_choose_007	Детальный анализ конкурентов	CALCULATION_TABLE	Пример анализа из урока	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=192193430#gid=192193430
06_express_c03_competitors_m02_why_choose_007	Детальный анализ конкурентов	EXTERNAL_SERVICE	Плагин MPSTATS	https://mpstats.io/chrome-plugin?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
01_analytics_m03_competitors_011	Как работать с отзывами | Инструменты конкурентного анализа, 5	CALCULATION_TABLE	Выгрузка для WB. Отзывы	https://docs.google.com/spreadsheets/d/17z-4Kc2zY-mDLHHoPr1wibBVHWkVYzL3/edit?usp=sharing&ouid=117491839471411086609&rtpof=true&sd=true
01_analytics_m03_competitors_011	Как работать с отзывами | Инструменты конкурентного анализа, 5	EXTERNAL_SERVICE	Искусственный интеллект. Алиса	https://alice.yandex.ru/
01_analytics_m03_competitors_012	Работа с отзывами с помощью ИИ | Инструменты конкурентного анализ, 6	CALCULATION_TABLE	Шаблон анализа отзывов	https://docs.google.com/spreadsheets/d/1W-qNw_wu3N3dpXwgBQPPOuNPv7B_dCQIEeQznygTlFY/edit?usp=sharing
01_analytics_m03_competitors_012	Работа с отзывами с помощью ИИ | Инструменты конкурентного анализ, 6	CALCULATION_TABLE	Выгрузка для WB. Отзывы	https://docs.google.com/spreadsheets/d/17z-4Kc2zY-mDLHHoPr1wibBVHWkVYzL3/edit?usp=sharing&ouid=117491839471411086609&rtpof=true&sd=true
01_analytics_m03_competitors_012	Работа с отзывами с помощью ИИ | Инструменты конкурентного анализ, 6	CALCULATION_TABLE	Выгрузка для Ozon.  Отзывы	https://docs.google.com/document/d/1e_iqjtvPzPSRXLwzd-qrirazzcSFUnQ2/edit?usp=sharing&ouid=117491839471411086609&rtpof=true&sd=true
01_analytics_m03_competitors_012	Работа с отзывами с помощью ИИ | Инструменты конкурентного анализ, 6	EXTERNAL_SERVICE	Искусственный интеллект. Алиса	https://alice.yandex.ru/
06_express_c03_competitors_m02_why_choose_010	SWOT-анализ	CALCULATION_TABLE	Таблица «Анализ конкурентов»	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=15771304#gid=15771304
06_express_c03_competitors_m02_why_choose_010	SWOT-анализ	CALCULATION_TABLE	Пример анализа из урока	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=192193430#gid=192193430
06_express_c03_competitors_m02_why_choose_010	SWOT-анализ	EXTERNAL_SERVICE	Плагин MPSTATS	https://mpstats.io/chrome-plugin?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
06_express_c03_competitors_m02_why_choose_010	SWOT-анализ	PRESENTATION	Инструменты конкурентного анализа	https://drive.google.com/file/d/1wlTRkM-uMR3wv5TLLAw97eyfwVuB5szV/view
01_analytics_m03_competitors_014	Доли рынка: анализ ежедневных продаж	CALCULATION_TABLE	Таблица «Доли рынка»	https://docs.google.com/spreadsheets/d/1GI4fqYeBRYBX3RZoPoTFix2yvnilJBwbGvAvAscn2lM/edit?gid=137112458#gid=137112458
01_analytics_m04_product_selection_001	Типичные ошибки при выборе товара	CHECKLIST	Стоп-лист ошибок при выборе товара	https://docs.google.com/spreadsheets/d/1SBwOJjcYB8wYmJeMBKz9Uys0vcH3RrWkJXP_PXpRu3g/edit?gid=823064157#gid=823064157
01_analytics_m04_product_selection_001	Типичные ошибки при выборе товара	PRESENTATION	Типичные ошибки при выборе товара	https://drive.google.com/file/d/1h8BvdN9fkr55vW-ZQaTBq5Qj_mxg-tjt/view?usp=sharing
01_analytics_m04_product_selection_002	Выбираем цель запуска товара под свой бюджет, опыт и ресурсы	CALCULATION_TABLE	С чего начать выбор товара: «Древо решений» для определения стартовых условий	https://docs.google.com/spreadsheets/d/1TlXFYY6cndNMRcbYXLZQVj8XcC6femOumV6CxyR-G24/edit?gid=1791901820#gid=1791901820
01_analytics_m04_product_selection_002	Выбираем цель запуска товара под свой бюджет, опыт и ресурсы	PRESENTATION	Выбираем цель запуска под свой бюджет, опыт и ресурсы	https://drive.google.com/file/d/1Xqwr2Vam1fbvQzeHL3crcJSwmzCcDEoL/view?usp=sharing
01_analytics_m04_product_selection_020	Анализ категории для действующей товарной матрицы | Критерии отбора категорий товара, 1	PRESENTATION	Анализ категории для действующей товарной матрицы	https://drive.google.com/file/d/1WMU4VWFvXJV3qv9AJFPj6LM1MmHLUgjV/view
01_analytics_m04_product_selection_020	Анализ категории для действующей товарной матрицы | Критерии отбора категорий товара, 1	CALCULATION_TABLE	Пример файла по глубине трафика	https://docs.google.com/spreadsheets/d/1wexUmYjTGUzO6TOVxc5sFbo_fxXaM0hc/edit?usp=sharing&ouid=118003266547190537783&rtpof=true&sd=true
01_analytics_m04_product_selection_005	Бренды и ценовая сегментация | Выбор конкретных продуктов, 1	MEMO	Бренды и ценовая сегментация	https://docs.google.com/document/d/1RNlfQZGJKw12-QhBW95vTml-tgD3mM2p56paa2iZK1E/edit?tab=t.0
01_analytics_m04_product_selection_006	Сильная карточка: контент, конкуренты и отзывы  | Выбор конкретных продуктов, 1	CALCULATION_TABLE	Таблица «Конкурентный анализ карточек»	https://docs.google.com/spreadsheets/d/18hadu2tBSQzy2RWIicajoeE17nbYKqjW8JA0T9LVftU/edit?gid=0#gid=0
