sheetLessonName	materialCount	sample_titles
Инструменты MPSTATS для анализа акций | Анализ условий акций, 2	1	Анализ условий акций: как принять решение о запуске
Разбор таблицы для анализа акций | Анализ условий акций, 3	1	Анализ условий акций: как принять решение о запуске
Практика анализа категории для действующей товарной матрицы | Критерии отбора категорий товара, 2	1	M Keeper
План продаж | Прогноз сезонности, трендов, спроса, 1	3	Пример расчета Плана из урока | Шаблон Плана продаж | Планирование продаж: прогноз сезонности, трендов, спроса
Как работать с таблицей «План продаж» | Прогноз сезонности, трендов, спроса, 2	2	Пример расчета Плана из урока | Шаблон Плана продаж
Что убивает продажи фокусных товаров | Как улучшить карточку фокусного товара, 1	1	Что убивает продажи фокусных товаров
Как улучшить карточку фокусного товара | Как улучшить карточку фокусного товара, 2	1	Как улучшить карточку фокусного товара
Практика: аудит карточки товара по чек-листу | Как улучшить карточку фокусного товара, 3	2	Практика: аудит карточки товара по чек-листу | Чек-лист продающей воронки
Внутренняя аналитика Wildberries	2	Чек-лист работы с аналитикой WB | Внутренняя аналитика Wildberries
Внутренняя аналитика OZON	2	Чек-лист работы с аналитикой Ozon | Внутренняя аналитика OZON
