ID,Категория,Сложность,Вопрос,Вариант A,Вариант B,Вариант C,Вариант D,Правильный (A/B/C/D),Объяснение,OK? (да/нет),Комментарий
q-analytics-1,ANALYTICS,EASY,"Какой из перечисленных факторов имеет наивысший приоритет при ранжировании товаров в рекламной выдаче Wildberries, согласно контексту?",Срок доставки,Объем продаж,Ставка CPM,Конверсия карточки,A,"Согласно тексту, срок доставки имеет наивысший приоритет, поскольку Wildberries выгодно показывать товары, которые быстрее доедут до покупателя.",,
q-analytics-2,ANALYTICS,MEDIUM,"Вы хотите протестировать новую рекламную кампанию и собрать плюс-минус одинаковое количество показов по каждой фразе, чтобы затем анализировать их эффективность. Какую настройку автоминусации фраз в MPStats следует использовать?",Автоминусация по CTR,Автоминусация по показам,Ручная минусация после анализа,Автоминусация по частоте фразы,B,"Для равномерного сбора статистики по показам следует использовать автоминусацию по параметру 'Показы', что позволит собрать примерно одинаковое количество показов по каждой фразе перед минусацией.",,
q-analytics-3,ANALYTICS,MEDIUM,Какое техническое ограничение со стороны Wildberries влияет на настройку рекламных кампаний в MPStats в отношении одного товара?,На один товар можно создать только одну рекламную кампанию (автоматическую или аукцион).,Нельзя использовать автобидер для товаров с низкой частотой запросов.,Невозможно настроить разные ставки для разных регионов в рамках одной кампании.,Нельзя одновременно запускать автоматические кампании и кампании по аукциону для одного товара.,C,"Площадка Wildberries позволяет создать одну рекламную кампанию одного типа на один товар, и ставку нельзя установить отдельно на каждый регион или фразу, она устанавливается на всю кампанию в целом.",,
q-analytics-4,ANALYTICS,EASY,"В каком разделе MPStats можно просмотреть динамику изменений ставок, мест в выдаче и трат бюджета по конкретной рекламной кампании?",История ставок,Общие настройки кампании,Поисковые фразы,Дашборд с основными метриками,A,"Раздел 'История ставок' предназначен для отображения динамики показов, мест, ставок и бюджета рекламной кампании.",,
q-analytics-5,ANALYTICS,HARD,"Вы запускаете рекламную кампанию и хотите, чтобы система MPStats автоматически пополняла бюджет, когда он опускается ниже 100 рублей, на сумму 1000 рублей. Также вы хотите, чтобы пополнения прекращались, если общая сумма пополнений за сутки достигнет 3000 рублей. Какое стоп-условие автопополнения вам нужно установить?",Пополнять до 3000 рублей в сутки,Приостановить после 3 пополнений,"Пополнять, пока бюджет не достигнет 3000 рублей","Приостановить, если сумма пополнений за сутки достигнет 3000 рублей",D,"Стоп-условие должно быть настроено на прекращение пополнений, когда общая сумма пополнений за сутки достигнет 3000 рублей.",,
q-analytics-6,ANALYTICS,MEDIUM,"Какая из стратегий автобидера MPStats будет стремиться занять наилучшую позицию в выбранном диапазоне, даже если это приведет к использованию максимальной ставки?",Лучшая позиция,Оптимальная ставка,Диапазон ставок,Удержание ставки,A,"Стратегия 'Лучшая позиция' направлена на занятие наивысшего места из выбранного диапазона до тех пор, пока не будет достигнут лимит ставки.",,
q-analytics-7,ANALYTICS,EASY,"Вы хотите, чтобы ваша рекламная кампания работала только в рабочие часы с 7 утра до 7 вечера ежедневно, а в ночное время приостанавливалась. Где в MPStats вы настроите это условие?",В настройках времени показа,В общих настройках кампании,В разделе управления бюджетом,В настройках стратегии автобидера,A,Настройка времени показа позволяет задать интервалы работы рекламной кампании по часам и дням недели.,,
q-analytics-8,ANALYTICS,EASY,Для чего используется инструмент 'Проверка рекламных фраз' в MPStats?,Для проверки до 100 фраз сразу и просмотра текущих ставок,Для анализа конкурентов по одной конкретной фразе,Для настройки автоматической минусации фраз,Для выбора региона показа рекламы,A,Инструмент 'Проверка рекламных фраз' позволяет проверить до 100 фраз одновременно и увидеть текущие ставки для этих запросов.,,
q-analytics-9,ANALYTICS,MEDIUM,В чем заключается основное отличие между 'проверенными фразами' в автоматической рекламной кампании и 'фиксированными фразами' в кампании типа аукцион?,"В автоматической кампании можно закреплять фразы до их появления, а в аукционе — только после.","В автоматической кампании фразы называются 'проверенными', а в аукционе — 'фиксированными', но функционал их закрепления схож.","В аукционе можно использовать точечную минусацию, а в автоматической кампании — нет.","Проверенные фразы используются для продвижения, а фиксированные — для исключения.",B,"Различие в названиях ('проверенные' для автокампаний и 'фиксированные' для аукционов) является основным, при этом функционал закрепления фраз остается схожим.",,
q-analytics-10,ANALYTICS,EASY,"Если вы хотите получить наибольший охват и показы по высокочастотному запросу, какую фразу следует выбрать для настройки автобидера?",Высокочастотный запрос,Низкочастотный запрос,Среднечастотный запрос,"Любую фразу, если вы хотите продвигаться с одинаковой ставкой",A,Для наибольшего охвата и показов по высокочастотному запросу следует выбирать именно высокочастотный запрос.,,
q-analytics-11,ANALYTICS,EASY,"Какой фактор имеет наивысший приоритет при ранжировании товаров в рекламной выдаче Wildberries, согласно учебным материалам?",Срок доставки,Объем продаж,Ставка CPM,Рейтинг карточки,A,"Согласно материалам, срок доставки имеет наивысший приоритет, так как влияет на логистику и выгоду Wildberries.",,
q-analytics-12,ANALYTICS,MEDIUM,Вы хотите проверить рекламные ставки по 50 различным поисковым запросам на Wildberries. Какой инструмент MPStats позволит это сделать наиболее эффективно?,Проверка рекламных фраз,Проверка рекламной ставки (по одному запросу),Плагин MPStats для браузера,Отчет по истории ставок,A,"Инструмент «Проверка рекламных фраз» позволяет проверять до 100 фраз одновременно, что идеально подходит для 50 запросов.",,
q-analytics-13,ANALYTICS,HARD,"В чем заключается основное техническое ограничение Wildberries при создании рекламных кампаний для одного товара, которое влияет на настройки автобидера MPStats?",На один товар можно создать только одну рекламную кампанию любого типа (авто или аукцион).,"На один товар можно создать одну автоматическую кампанию и один аукцион, но нельзя настроить разные ставки для разных фраз или регионов в рамках одной кампании.",Нельзя использовать автобидер для товаров с низкой частотой показов.,Максимальное количество фраз в одной рекламной кампании ограничено 50.,B,"На один товар можно создать один аукцион и одну автоматическую кампанию, при этом ставка устанавливается на всю кампанию целиком, без возможности задать разные ставки для отдельных фраз или регионов.",,
q-analytics-14,ANALYTICS,EASY,Какой тип рекламной кампании на Wildberries имеет зону показа только 'Поиск'?,Аукцион,Автокампания,Внешняя реклама,Кампания по продвижению бренда,A,"На Wildberries существует два типа кампаний: автокампании (поиск, каталог, карточка, рекомендации) и аукцион (только поиск).",,
q-analytics-15,ANALYTICS,MEDIUM,"Вы используете автобидер MPStats и настроили стратегию «Лучшая позиция» с целевым местом с 1 по 20. Если бидер уперся в лимит ставки, но не достиг 1-го места, какое действие он предпримет?","Будет удерживать максимальную ставку, стремясь к лучшей позиции.",Снизит ставку до минимально возможной для удержания в диапазоне.,Приостановит кампанию до следующего дня.,Попытается занять любое место в диапазоне 1-20 с наименьшей ставкой.,A,"При стратегии «Лучшая позиция», если бидер уперся в лимит ставки, но не достиг лучшего места, он будет держать максимальную ставку.",,
q-analytics-16,ANALYTICS,MEDIUM,Для чего нужна настройка «Автоминусация фраз» по параметрам «Показы» и «CTR» в MPStats?,Для автоматического исключения неэффективных или нерелевантных фраз из рекламной кампании.,Для принудительного добавления новых фраз в рекламную кампанию при достижении определенных показателей.,Для анализа динамики изменения ставок по фразам.,Для оптимизации бюджета путем установки максимальной ставки по каждой фразе.,A,"Автоминусация фраз позволяет автоматически исключать фразы, которые набрали много показов, но имеют низкий CTR, что указывает на их неэффективность или нерелевантность.",,
q-analytics-17,ANALYTICS,HARD,Какое ключевое отличие есть в блоке работы с фразами между автоматической рекламной кампанией и аукционом в MPStats?,"В аукционе можно использовать точечную минусацию и фразовое соответствие, помимо фиксированных фраз.","В автоматической кампании фразы называются 'фиксированными', а в аукционе 'проверенными'.",В аукционе нельзя добавлять фразы до их появления в отчете Wildberries.,В автоматической кампании нельзя использовать автоминусацию фраз.,A,"В аукционе, помимо фиксированных фраз, доступна точечная минусация и минусация по фразовому соответствию, что является дополнительной возможностью по сравнению с автокампаниями.",,
q-analytics-18,ANALYTICS,EASY,"Вы хотите, чтобы ваша рекламная кампания на Wildberries работала только в рабочие часы с 7 утра до 7 вечера ежедневно, а в остальное время приостанавливалась. Какая настройка в MPStats позволяет это сделать?",Настройка времени показа,Лимит на день,Автопополнение бюджета,Стратегия 'Мониторинг РК',A,"Настройка времени показа позволяет задать интервалы работы рекламной кампании в течение дня и недели, приостанавливая ее вне этих интервалов.",,
q-analytics-19,ANALYTICS,MEDIUM,"Что произойдет с рекламной кампанией, если в MPStats настроен «Лимит на день» в 2000 рублей с опцией «Приостановить и возобновить», и этот лимит достигнут?","Кампания приостановится, и будет автоматически возобновлена в 00:00 по московскому времени следующего дня.","Кампания приостановится навсегда, пока пользователь не возобновит ее вручную.",Система автоматически пополнит бюджет кампании на 2000 рублей.,Ставки по всем фразам будут снижены вдвое до конца дня.,A,При настройке «Лимит на день» с опцией «Приостановить и возобновить» кампания приостанавливается по достижении лимита и автоматически возобновляется в 00:00 по московскому времени.,,
q-analytics-20,ANALYTICS,EASY,Что такое «битр» в контексте MPStats для Wildberries?,"Инструмент, который экономит бюджет, автоматически подбирает ставки и автоматизирует работу с фразами.",Тип рекламной кампании на Wildberries с зоной показа только 'поиск'.,"Метрика, отражающая количество показов рекламного объявления на 1000 запросов.","Отчет, показывающий динамику изменения позиций товара в органической выдаче.",A,"Битер — это инструмент, который экономит бюджет, автоматически подбирает ставки для рекламного продвижения, автоматизирует работу с фразами и собирает статистику.",,
q-marketing-1,MARKETING,MEDIUM,"Вы обнаружили, что 50 единиц товара из партии в 1000 единиц оказались бракованными. Себестоимость одной годной единицы до учета брака составляла 162 рубля. Какова будет новая себестоимость одной годной единицы товара с учетом брака?",170 рублей,162 рубля,165 рублей,175 рублей,A,"Общая стоимость партии (1000 * 162 = 162000 руб). Количество годных товаров (1000 - 50 = 950 шт). Новая себестоимость (162000 / 950 = 170.5 руб, округляем до 170).",,
q-marketing-2,MARKETING,EASY,"Ваша компания работает по УСН (доходы 6%) и не является плательщиком НДС. Какие налоговые вычеты вы можете применить, чтобы снизить налогооблагаемую базу?",Вычеты по НДС и разрешительным документам,Только вычеты по разрешительным документам,"Вычеты по НДС, разрешительным документам и расходам на закупку","Никакие вычеты, так как УСН (доходы 6%) не предусматривает вычетов",D,"При УСН (доходы 6%) налогоплательщик не может применять вычеты, так как налог уплачивается со всей суммы доходов без уменьшения на расходы.",,
q-marketing-3,MARKETING,EASY,Какова основная задача текстовой инфографики на карточке товара?,Перечислить все технические характеристики товара,Быстро снять главные сомнения покупателя и продать ключевые преимущества,Показать товар в различных ракурсах,Описать историю создания бренда,B,"Текстовая инфографика должна фокусироваться на выгодах, используя ясные формулировки для целевой аудитории и быстро отвечать на ее вопросы.",,
q-marketing-4,MARKETING,EASY,"Вы используете нейросеть для создания инфографики. Какие данные НЕОБХОДИМО предоставить нейросети самостоятельно, так как она априори ими не обладает?",Анализ контента конкурентов,Анализ целевой аудитории,Характеристики и сильные/слабые стороны вашего товара,Тон общения (Tone of Voice),C,"Нейросеть не знает информацию о вашем конкретном товаре, поэтому описание его характеристик, сильных и слабых сторон нужно предоставить вручную.",,
q-marketing-5,MARKETING,MEDIUM,Вы готовите инфографику для новой карточки товара. Какой из следующих шагов является ключевым для сегментации конкурентов и получения наиболее релевантных данных?,"Анализ всех товаров в вашей категории, независимо от фасона и цены","Выбор только сопоставимых карточек (одна категория, один фасон, один тип, схожий ценовой коридор)","Изучение только топовых продавцов, независимо от схожести товара",Анализ товаров из совершенно других категорий для поиска нестандартных решений,B,Максимальная сегментация конкурентов по схожим параметрам товара позволяет выявить специфические запросы и боли покупателей именно для вашего типа продукта.,,
q-marketing-6,MARKETING,MEDIUM,"При создании текстовой инфографики для черной футболки оверсайз, какое УТП будет наиболее значимым для целевой аудитории?",Приятная на ощупь ткань,Не оставляет следов и не прилипает шерсть,Свободный крой,Универсальный размер,B,"Для черной одежды часто важны такие характеристики, как отсутствие следов и прилипания шерсти, так как на темной ткани это более заметно.",,
q-marketing-7,MARKETING,MEDIUM,"Вы хотите улучшить инфографику для уже существующей карточки товара. Какие данные о вашей карточке необходимо предоставить нейросети, чтобы она могла эффективно проанализировать и предложить улучшения?",Только описание товара и его преимущества,Только текущий контент (фотографии) и список конкурентов,"Текущий контент, метрики карточки (CTR, конверсия в корзину/заказ), а также отзывы и вопросы покупателей",Только финансовые показатели продаж и прибыль,C,"Для улучшения существующей карточки нейросети необходим полный контекст: текущий визуал, показатели эффективности и обратная связь от покупателей.",,
q-marketing-8,MARKETING,EASY,"В процессе работы с нейросетью по улучшению инфографики, что является наиболее важным для получения качественных УТП и воронки продаж?",Один раз задать промт и ждать финального результата,"Постоянно общаться с нейросетью, уточнять запросы и корректировать её ответы",Использовать только стандартные шаблоны промтов без изменений,Полностью доверять первому предложенному нейросетью варианту,B,"Эффективное взаимодействие с нейросетью требует диалога, уточнений и корректировок, чтобы получить наиболее релевантные и качественные результаты.",,
q-marketing-9,MARKETING,MEDIUM,Почему инфографика на маркетплейсах не может быть «идеальной» и требует постоянного обновления?,Из-за ограничений платформы маркетплейса на количество слайдов,Потому что покупатели всегда ищут что-то новое и необычное,"Конкуренты постоянно меняют свой контент, и ваш могут скопировать; необходимо тестировать и дорабатывать","Идеальной инфографики не существует, потому что товар всегда имеет недостатки",C,"Конкурентная среда маркетплейсов обязывает постоянно адаптироваться, улучшать контент и тестировать новые гипотезы, поскольку удачные решения быстро копируются.",,
q-marketing-10,MARKETING,HARD,"Вы хотите протестировать новые варианты инфографики. Какой метод/сервис НЕЛЬЗЯ использовать для получения реальных метрик (например, CTR), так как он может дать придуманные факты?","Сервисы, такие как Марпла или Маркет Гуру",АБ-тесты на Wildberries,"Нейросеть, если попросить её предсказать CTR",Сплит-тесты,C,"Нейросеть может генерировать тексты и идеи, но она не способна предсказывать реальные метрики, такие как CTR, которые зависят от поведения реальных пользователей.",,
q-marketing-11,MARKETING,MEDIUM,"Вы обнаружили, что 50 единиц товара из партии в 1000 единиц оказались бракованными и не подлежат продаже. Себестоимость одной годной единицы до учета брака составляла 160 рублей. Какова будет фактическая себестоимость одной годной единицы товара после учета брака?",~168.42 рубля,160 рублей,165 рублей,~170.53 рубля,A,Общая стоимость партии: 1000 * 160 = 160 000 руб. Количество годных единиц: 1000 - 50 = 950. Фактическая себестоимость: 160 000 / 950 = ~168.42 руб.,,
q-marketing-12,MARKETING,EASY,Какую основную задачу решает текстовая инфографика на карточке товара?,Быстро снять главные сомнения покупателя и продать ключевые преимущества товара текстом.,Украсить карточку товара и сделать её более привлекательной визуально.,Предоставить полную техническую информацию о товаре в удобном формате.,"Сформировать уникальный стиль бренда, отличающий его от конкурентов.",A,"Текстовая инфографика фокусируется на выгоде, снимает сомнения и выделяет ключевые преимущества для целевой аудитории.",,
q-marketing-13,MARKETING,MEDIUM,"Вы продаете черные футболки оверсайз. Какие уникальные торговые предложения (УТП) будут наиболее релевантны для инфографики, исходя из особенностей товара?",Не оставляет следов и не прилипает шерсть.,"Яркий цвет, привлекающий внимание.","Легкий материал, быстро сохнет.",Устойчивость к выцветанию на солнце.,A,"Для черной футболки важно, чтобы на ней не было видно следов и не прилипала шерсть, что является частой проблемой для темной одежды.",,
q-marketing-14,MARKETING,EASY,"Вы хотите улучшить инфографику для уже существующей карточки товара. Какие данные, помимо текущего контента, вам обязательно потребуется загрузить в ChatGPT для анализа и получения рекомендаций?","Метрики карточки (CTR, конверсия в корзину/заказ) и анализ отзывов/вопросов покупателей.",Полный финансовый отчет по продажам за последний год.,Список всех поставщиков и логистических партнеров.,Предпочтения личного дизайнера и его портфолио.,A,Для улучшения существующей инфографики необходимы метрики эффективности и обратная связь от покупателей через отзывы и вопросы.,,
q-marketing-15,MARKETING,EASY,"При создании воронки продаж для товара на маркетплейсах с помощью нейросети, с чего рекомендуется начинать, чтобы захватить внимание покупателя?","С эмоций, чтобы вызвать желание кликнуть на карточку.",С подробного описания технических характеристик товара.,С указания самой низкой цены на рынке.,С истории создания вашего бренда.,A,"Воронка продаж должна начинаться с эмоций, чтобы привлечь внимание покупателя и стимулировать его кликнуть на карточку.",,
q-marketing-16,MARKETING,MEDIUM,"Вы используете ChatGPT для создания инфографики. Какую роль вы должны ему назначить, чтобы он максимально эффективно проработал уникальные торговые предложения (УТП) и позиционирование товара?","Контент-маркетолог, занимающийся продвижением товара и составлением УТП.","Копирайтер, который просто генерирует много вариантов текста.","Аналитик данных, который только собирает информацию без креатива.","Дизайнер, который отвечает исключительно за визуальное оформление.",A,Для проработки УТП и позиционирования товара нейросеть должна выступать в роли контент-маркетолога.,,
q-marketing-17,MARKETING,EASY,В чем главное преимущество использования нейросети для создания инфографики и УТП по сравнению с ручной работой?,Экономия времени и полнота анализа за счет генерации множества вариантов.,Возможность полного делегирования процесса без участия человека.,Гарантия 100% уникальности и неповторимости контента.,Бесплатный доступ к высококачественным дизайнерским решениям.,A,"Нейросеть экономит время, быстро генерирует множество вариантов и проводит полноту анализа, учитывая различные стили и целевую аудиторию.",,
q-marketing-18,MARKETING,MEDIUM,"При анализе конкурентов для создания инфографики, какой принцип сегментации карточек является наиболее важным для получения релевантных данных?","Максимально сегментировать конкурентов по категории, фасону и типу (например, 'черная футболка оверсайз').","Анализировать всех конкурентов в широкой категории, независимо от конкретных характеристик товара.","Фокусироваться только на товарах с самой высокой ценой, чтобы изучить премиум-сегмент.","Изучать только товары, которые имеют наименьшее количество отзывов.",A,Максимальная сегментация конкурентов позволяет понять запросы покупателей для конкретного товара и выделить релевантные плюсы и минусы.,,
q-marketing-19,MARKETING,HARD,Можно ли полностью доверять нейросети в проведении А/Б-тестов и определении CTR для вашей инфографики?,"Нет, нейросеть может предложить гипотезы, но тесты проводит человек или специализированные сервисы.","Да, современные нейросети способны точно предсказывать результаты А/Б-тестов.",Только если у вас очень большой объем данных для обучения нейросети.,"Только для товаров с низкой конкуренцией, где погрешность не критична.",A,"Нейросеть может предложить гипотезы, но тесты и измерение метрик, таких как CTR, должны проводиться человеком или специализированными сервисами, а не самой нейросетью, которая может 'придумать' факты.",,
q-marketing-20,MARKETING,MEDIUM,Что означает принцип 'от эмоции к конструктиву' при составлении воронки продаж для инфографики?,"Начать с вызова эмоций у покупателя, а затем перейти к закрытию его болей и потребностей с помощью фактов и характеристик.","Сначала представить все технические детали товара, а потом вызвать эмоции, чтобы закрепить интерес.","Полностью исключить эмоции из инфографики, сосредоточившись только на фактах.",Использовать только эмоциональные призывы к действию без объяснения преимуществ.,A,"Принцип 'от эмоции к конструктиву' предполагает сначала захват внимания через эмоции, а затем переход к рациональному закрытию болей и потребностей покупателя.",,
q-content-1,CONTENT,EASY,"Какой из перечисленных элементов НЕ относится к контенту, который нейросети могут помочь генерировать для карточек товаров и воронок продаж?","Визуал (фотографии, видео)",Тексты и УТП,Технические задания,Отзывы покупателей,D,"Нейросети могут помочь в генерации визуала, текстов, УТП и технических заданий, но отзывы покупателей — это реальный фидбек, не генерируемый контент.",,
q-content-2,CONTENT,MEDIUM,"Вы как менеджер маркетплейса получили задачу увеличить конверсию карточки товара. В рамках курса по нейросетям, какой подход будет наиболее эффективным для достижения этой цели?",Найти в интернете 'секретный промт' для генерации идеального описания и скопировать его.,"Научиться системе работы с нейросетями, адаптировать шаблоны под конкретные задачи и тестировать гипотезы.","Использовать только стандартные шаблоны без изменений, чтобы избежать ошибок.",Делегировать всю работу по созданию контента нейросетям без контроля и корректировок.,B,"Курс учит не просто копировать промты, а понимать систему работы с нейросетями, адаптировать их и экспериментировать для достижения лучших результатов.",,
q-content-3,CONTENT,MEDIUM,"Представьте, что вы запускаете новый товар на Wildberries. Какой из видов контента, сгенерированных нейросетями, может внести наибольший вклад в первоначальное привлечение внимания покупателей?",Подробные технические характеристики в описании товара.,Высококачественные продающие фотографии и видео.,Длинные SEO-оптимизированные тексты.,Автоматически сгенерированные ответы на частые вопросы.,B,На маркетплейсах визуальный контент (фото и видео) играет ключевую роль в первом впечатлении и привлечении внимания покупателей.,,
q-content-4,CONTENT,HARD,"Вы создали несколько вариантов описания для нового товара с помощью нейросети. Чтобы определить наиболее эффективный вариант, что необходимо сделать?","Выбрать тот вариант, который кажется вам наиболее креативным.",Запустить A/B тестирование разных вариантов описания на маркетплейсе.,"Попросить нейросеть оценить, какой вариант лучше.",Опубликовать все варианты описания одновременно.,B,"Для определения эффективности контента необходимо проводить A/B тестирование, чтобы получить данные о реальной реакции покупателей.",,
q-content-5,CONTENT,EASY,Как использование нейросетей для создания контента влияет на ресурсы селлера?,Позволяет экономить время и другие ресурсы.,Увеличивает затраты на специалистов по контенту.,Требует значительно больше времени на ручную проверку.,Не оказывает существенного влияния на ресурсные затраты.,A,"Нейросети помогают экономить ресурсы, автоматизируя создание контента и рутинные задачи.",,
q-content-6,CONTENT,EASY,Что такое 'промт' в контексте работы с нейросетями для генерации контента?,Секретный код для активации скрытых функций нейросети.,"Инструкция или запрос, по которому нейросеть будет работать.","Готовый шаблон контента, который нельзя изменять.",Файл с данными для обучения нейросети.,B,"Промт – это инструкция или запрос, который пользователь дает нейросети для выполнения определенной задачи, например, генерации текста или изображения.",,
q-content-7,CONTENT,MEDIUM,"Вы используете нейросеть для создания продающего текста для карточки товара. Нейросеть сгенерировала несколько вариантов текста, но ни один из них не соответствует вашим ожиданиям. Ваши дальнейшие действия?",Отказаться от использования нейросети для данной задачи.,"Попробовать изменить промт, добавив больше деталей и уточнений.",Выбрать наименее худший вариант и опубликовать его.,"Написать текст вручную, игнорируя возможности нейросети.",B,"Для получения более точных результатов от нейросети необходимо экспериментировать с промтами, делая их более детализированными и конкретными.",,
q-content-8,CONTENT,MEDIUM,Какой риск существует при использовании бесплатных VPN-сервисов для доступа к зарубежным нейросетям и работе с конфиденциальными бизнес-данными?,Возможность блокировки аккаунта на маркетплейсе.,Утечка конфиденциальных бизнес-данных третьим сторонам.,"Снижение скорости интернета, которое повлияет на продажи.",Невозможность оплаты платных подписок на нейросети.,B,"Бесплатные VPN-сервисы могут продавать данные пользователей, что создает риск утечки конфиденциальной бизнес-информации.",,
q-content-9,CONTENT,HARD,Вы хотите создать уникальное торговое предложение (УТП) для своего товара с помощью нейросети. Что является наиболее важным для получения качественного результата?,Использование самого популярного промта из интернета.,"Предоставление нейросети максимально подробной информации о товаре, целевой аудитории и конкурентах.",Запуск нейросети несколько раз подряд с одним и тем же запросом.,"Ограничиться общими фразами, чтобы нейросеть имела больше свободы.",B,"Чем более детализированную и релевантную информацию вы предоставите нейросети, тем точнее и качественнее будет сгенерированное УТП.",,
q-content-10,CONTENT,EASY,Что представляет собой ИИ-агент в контексте автоматизации бизнес-процессов на маркетплейсах?,"Нейросеть, способная выполнять неограниченное количество задач.","Узкопрофильный инструмент ИИ, обученный выполнять одну или комплекс задач из одной сферы.",Программа для создания графического контента.,Система для анализа конкурентов на маркетплейсах.,B,"ИИ-агент – это узкопрофильный инструмент, который автоматизирует конкретные бизнес-процессы, фокусируясь на одной или нескольких связанных задачах.",,
q-content-11,CONTENT,EASY,Вы — менеджер по контенту на маркетплейсе. Вам необходимо создать уникальное торговое предложение (УТП) для нового товара. Какие инструменты на основе ИИ могут помочь в этой задаче?,Нейросети для генерации текстов и УТП,Сервисы аналитики конкурентов,Инструменты для автоматизации отзывов,Платформы для создания ИИ-агентов,A,"Нейросети, способные генерировать тексты, могут быть использованы для создания уникальных торговых предложений (УТП) для карточек товаров.",,
q-content-12,CONTENT,MEDIUM,"Какие из перечисленных задач, связанных с контентом и карточками товаров, могут быть автоматизированы с помощью инструментов искусственного интеллекта?","Генерация визуалов, текстов, УТП, создание ТЗ",Определение ценовой политики конкурентов,Настройка рекламных кампаний на внешних площадках,Переговоры с поставщиками о скидках,A,"ИИ помогает в генерации визуала, текстов, УТП для карточек, а также в создании технических заданий на контент.",,
q-content-13,CONTENT,MEDIUM,"Ваш товар плохо продается, и вы подозреваете, что проблема в карточке товара. Какой аспект контента наиболее вероятно может быть улучшен с помощью нейросетей для анализа и оптимизации?",Анализ конкурентных карточек и выявление их сильных сторон,Проверка лицензий на товар,Контроль качества упаковки при отгрузке,Расчет логистических затрат,A,"Нейросети могут использоваться для аналитики, включая анализ конкурентов и их контента, чтобы выявить возможности для улучшения собственной карточки товара.",,
