ID,Категория,Сложность,Вопрос,Вариант A,Вариант B,Вариант C,Вариант D,Правильный (A/B/C/D),Объяснение,OK? (да/нет),Комментарий
q-analytics-1,ANALYTICS,EASY,Какой показатель отражает долю товара в общих продажах категории?,CTR,Доля рынка,Конверсия,ROI,B,Доля рынка показывает какой процент от общих продаж категории занимает ваш товар.,,
q-analytics-2,ANALYTICS,MEDIUM,Что означает термин ABC-анализ в контексте управления ассортиментом?,Анализ конкурентов,Классификация товаров по вкладу в выручку,Анализ рекламных кампаний,Оценка качества товаров,B,"ABC-анализ делит товары на группы A (20% товаров = 80% выручки), B и C по их вкладу.",,
q-analytics-3,ANALYTICS,MEDIUM,Как рассчитывается оборачиваемость товара?,Выручка / Средний остаток,Прибыль / Затраты,Продажи / Показы,Заказы / Визиты,A,Оборачиваемость = Выручка за период / Средний остаток товара на складе.,,
q-analytics-4,ANALYTICS,HARD,Что такое когортный анализ в e-commerce?,Анализ возвратов,Группировка клиентов по времени первой покупки,Анализ ценовых сегментов,Сравнение категорий товаров,B,Когортный анализ группирует клиентов по дате первой покупки для отслеживания LTV.,,
q-analytics-5,ANALYTICS,EASY,Какой инструмент MPSTATS показывает динамику продаж конкурентов?,Категорийный анализ,Трекинг товаров,SEO-анализ,Анализ отзывов,B,"Трекинг товаров позволяет отслеживать продажи, остатки и цены конкурентов.",,
q-analytics-6,ANALYTICS,MEDIUM,Что такое sell-through rate?,Процент проданных единиц от поставленных,Скорость доставки,Коэффициент конверсии,Процент возвратов,A,Sell-through rate = Проданные единицы / Поставленные единицы × 100%. Показывает скорость продаж.,,
q-analytics-7,ANALYTICS,EASY,Какой показатель лучше всего отражает сезонность спроса на товар?,Средний чек,Динамика поисковых запросов по месяцам,Количество отзывов,Рейтинг товара,B,Динамика поисковых запросов показывает когда спрос растёт и падает — ключевой индикатор сезонности.,,
q-analytics-8,ANALYTICS,HARD,"Как определить, что ниша перенасыщена конкурентами?",Много товаров с рейтингом ниже 4.0,Высокое соотношение продавцов к объёму продаж,Низкие цены на все товары,Отсутствие рекламы в выдаче,B,"Когда продавцов много, а объём продаж не растёт — ниша перенасыщена, доля каждого падает.",,
q-analytics-9,ANALYTICS,MEDIUM,"Что показывает метрика ""Упущенная выручка""?",Сумму возвратов,"Потенциальные продажи, потерянные из-за out-of-stock",Разницу между плановыми и фактическими продажами,Стоимость нераспроданного остатка,B,"Упущенная выручка — это продажи, которые не состоялись из-за отсутствия товара на складе.",,
q-analytics-10,ANALYTICS,EASY,Какой тип графика лучше всего подходит для сравнения продаж по категориям?,Линейный график,Столбчатая диаграмма,Круговая диаграмма,Точечная диаграмма,B,Столбчатая диаграмма лучше всего визуализирует сравнение дискретных категорий по объёму.,,
q-analytics-11,ANALYTICS,HARD,Что такое RFM-анализ?,Анализ рекламных форматов,"Сегментация клиентов по частоте, давности и сумме покупок",Анализ рентабельности маркетинга,Расчёт финансовой модели,B,"RFM (Recency, Frequency, Monetary) — метод сегментации клиентов по поведению покупок.",,
q-analytics-12,ANALYTICS,EASY,Как рассчитать конверсию карточки товара?,Заказы / Показы × 100%,Заказы / Клики × 100%,Клики / Показы × 100%,Выручка / Заказы × 100%,B,Конверсия карточки = Заказы / Посетители (клики) × 100%. Показывает эффективность карточки.,,
q-analytics-13,ANALYTICS,MEDIUM,Какой период лучше использовать для анализа трендов на маркетплейсе?,Последние 7 дней,Последний месяц,Минимум 3 месяца,Последний год,C,"Минимум 3 месяца дают достаточно данных для выявления трендов, исключая краткосрочные флуктуации.",,
q-analytics-14,ANALYTICS,HARD,Что такое индекс видимости товара?,Позиция товара в выдаче,Количество показов за период,Комбинированная метрика позиции и частоты показа,Доля в рекламном аукционе,C,"Индекс видимости учитывает и позицию в выдаче, и частоту показа по разным запросам.",,
